slug,name_en,name_ja,frequency
floral,Floral,フローラル,17716
spicy,Spicy,スパイシー,16746
sweet,Sweet,スイート,16357
woody,Woody,ウッディ,15269
fresh,Fresh,フレッシュ,14771
fruity,Fruity,フルーティ,11597
citrus,Citrus,シトラス,8269
green,Green,グリーン,7948
powdery,Powdery,パウダリー,7018
synthetic,Synthetic,シンセティック,6299
oriental,Oriental,オリエンタル,5876
creamy,Creamy,クリーミー,3921
gourmand,Gourmand,グルマン,3844
resinous,Resinous,レジナス,3350
aquatic,Aquatic,アクアティック,2704
smoky,Smoky,スモーキー,2689
leathery,Leathery,レザリー,2353
earthy,Earthy,アーシー,2010
animal,Animal,アニマリック,1900
chypre,Chypre,シプレ,1219
fougere,Fougère,フゼア,568
