alias,canonical_slug,canonical_name_en,frequency
egyptian acacia,acacia,acacia,1
algae absolute,algae,algae,8
sicilian almond,almond,almond,1
italian almond,almond,almond,1
persian almond,almond,almond,1
sicilian almond blossom,almond-blossom,almond blossom,1
amberwood,amber,amber,402
white amber,amber,amber,295
black amber,amber,amber,81
crystal amber,amber,amber,54
amber xtreme,amber,amber,25
ambreine,amber,amber,23
amber notes,amber,amber,9
indian amber,amber,amber,4
tunisian amber,amber,amber,3
persian amber,amber,amber,2
oriental amber,amber,amber,2
greek amber,amber,amber,1
amber absolute,amber,amber,1
indian ambergris,ambergris,ambergris,7
ambergris absolute,ambergris,ambergris,2
irish ambergris,ambergris,ambergris,1
russian ambergris,ambergris,ambergris,1
ambrette seed absolute,ambrette-seed,ambrette seed,43
indian ambrette seed,ambrette-seed,ambrette seed,4
peruvian ambrette seed,ambrette-seed,ambrette seed,4
peruvian ambrette seed absolute,ambrette-seed,ambrette seed,4
australian ambrette seed,ambrette-seed,ambrette seed,2
ambrox,ambroxan,ambroxan,215
ambrofix,ambroxan,ambroxan,31
haitian amyris,amyris,amyris,5
caribbean amyris,amyris,amyris,1
angelica root,angelica,angelica,53
french angelica root,angelica,angelica,1
angelica root co2,angelica,angelica,1
french angelica,angelica,angelica,1
aniseed,anise,anise,435
granny smith apple,apple,apple,80
italian apple,apple,apple,1
canadian apple,apple,apple,1
dried apricot,apricot,apricot,7
marine notes,aquatic,aquatic,620
aquatic notes,aquatic,aquatic,570
calone,aquatic,aquatic,51
egyptian balsam,balsam,balsam,1
bamboo absolute,bamboo,bamboo,1
tibetan bamboo,bamboo,bamboo,1
egyptian basil,basil,basil,8
thai basil,basil,basil,7
basil absolute,basil,basil,3
indian bay leaf,bay-leaf,bay leaf,4
beeswax absolute,beeswax,beeswax,22
french beeswax,beeswax,beeswax,10
laotian beeswax,beeswax,beeswax,3
french beeswax absolute,beeswax,beeswax,1
styrax,benzoin,benzoin,434
benzoin siam,benzoin,benzoin,211
sumatra benzoin,benzoin,benzoin,27
benzoin absolute,benzoin,benzoin,7
benzoin siam absolute,benzoin,benzoin,3
thai benzoin,benzoin,benzoin,2
styrax absolute,benzoin,benzoin,2
indonesian styrax,benzoin,benzoin,2
japanese styrax,benzoin,benzoin,1
italian bergamot,bergamot,bergamot,463
calabrian bergamot,bergamot,bergamot,415
sicilian bergamot,bergamot,bergamot,102
french bergamot,bergamot,bergamot,3
bergamot absolute,bergamot,bergamot,2
bergamot co2,bergamot,bergamot,1
italian bergamot zest,bergamot-zest,bergamot zest,2
wild berries,berries,berries,75
dried berries,berries,berries,2
birch wood,birch,birch,32
silver birch,birch,birch,32
tuscan birch,birch,birch,3
italian birch,birch,birch,3
siberian birch,birch,birch,1
russian birch,birch,birch,1
italian birch wood,birch,birch,1
russian birch tar,birch-tar,birch tar,2
moroccan bitter almond,bitter-almond,bitter almond,2
sicilian bitter orange,bitter-orange,bitter orange,8
italian bitter orange,bitter-orange,bitter orange,8
spanish bitter orange,bitter-orange,bitter orange,5
brazilian bitter orange,bitter-orange,bitter orange,4
egyptian bitter orange,bitter-orange,bitter orange,3
paraguayan bitter orange,bitter-orange,bitter orange,3
bitter orange absolute,bitter-orange,bitter orange,2
calabrian bitter orange,bitter-orange,bitter orange,2
african bitter orange,bitter-orange,bitter orange,1
moroccan bitter orange blossom,bitter-orange-blossom,bitter orange blossom,1
italian bitter orange blossom,bitter-orange-blossom,bitter orange blossom,1
bitter orange blossom absolute,bitter-orange-blossom,bitter orange blossom,1
indian black pepper,black-pepper,black pepper,9
zanzibar black pepper,black-pepper,black pepper,4
indonesian black pepper,black-pepper,black pepper,1
black pepper absolute,black-pepper,black pepper,1
black tea absolute,black-tea,black tea,3
chinese black tea,black-tea,black tea,3
indian black tea,black-tea,black tea,1
blackcurrant absolute,blackcurrant,blackcurrant,15
french blackcurrant,blackcurrant,blackcurrant,8
italian blackcurrant,blackcurrant,blackcurrant,1
egyptian blackcurrant,blackcurrant,blackcurrant,1
english blackcurrant,blackcurrant,blackcurrant,1
polish blackcurrant,blackcurrant,blackcurrant,1
blackcurrant co2,blackcurrant,blackcurrant,1
french blackcurrant absolute,blackcurrant,blackcurrant,1
blackcurrant leaf,blackcurrant-bud,blackcurrant bud,58
blackcurrant bud absolute,blackcurrant-bud,blackcurrant bud,18
french blackcurrant bud absolute,blackcurrant-bud,blackcurrant bud,8
french blackcurrant bud,blackcurrant-bud,blackcurrant bud,1
blackcurrant bud co2,blackcurrant-bud,blackcurrant bud,1
blond tobacco absolute,blond-tobacco,blond tobacco,1
sicilian blood orange,blood-orange,blood orange,13
italian blood orange,blood-orange,blood orange,11
calabrian blood orange,blood-orange,blood orange,1
oriental blossoms,blossoms,blossoms,1
french blossoms,blossoms,blossoms,1
blue lotus absolute,blue-lotus,blue lotus,3
boronia absolute,boronia,boronia,3
broom absolute,broom,broom,11
spanish broom,broom,broom,3
italian broom absolute,broom,broom,3
italian broom,broom,broom,2
french broom,broom,broom,1
butter co2,butter,butter,7
butter absolute,butter,butter,2
brazilian cabreuva,cabreuva,cabreuva,1
indian calamus,calamus,calamus,3
egyptian calamus,calamus,calamus,2
japanese camellia,camellia,camellia,1
moroccan cannabis,cannabis,cannabis,2
turkish caramel,caramel,caramel,7
guatemala cardamom,cardamom,cardamom,87
indian cardamom,cardamom,cardamom,21
cardamom absolute,cardamom,cardamom,11
cardamom co2,cardamom,cardamom,2
egyptian cardamom,cardamom,cardamom,1
zanzibar cardamom,cardamom,cardamom,1
african cardamom,cardamom,cardamom,1
nepalese cardamom,cardamom,cardamom,1
french carnation,carnation,carnation,7
carnation absolute,carnation,carnation,6
egyptian carnation,carnation,carnation,2
carrot absolute,carrot,carrot,1
french carrot,carrot,carrot,1
french carrot seed,carrot-seed,carrot seed,1
cashmere wood,cashmeran,cashmeran,722
cashmere,cashmeran,cashmeran,213
chinese cassia,cassia,cassia,9
cassia absolute,cassia,cassia,1
castoreum absolute,castoreum,castoreum,6
russian castoreum,castoreum,castoreum,1
canadian castoreum,castoreum,castoreum,1
himalaya cedar leaf,cedar-leaf,cedar leaf,1
canadian cedar leaf,cedar-leaf,cedar leaf,1
