slug,name_en,name_ja,family,family_ja,frequency,alias_count,needs_review
musk,musk,ムスク,musk,ムスク,14161,13,false
bergamot,bergamot,ベルガモット,citrus,シトラス,11903,6,false
sandalwood,sandalwood,サンダルウッド,woody,ウッディ,11354,18,false
jasmine,jasmine,ジャスミン,white_floral,ホワイトフローラル,10927,32,false
rose,rose,ローズ,floral,フローラル,10833,61,false
vanilla,vanilla,バニラ,gourmand,グルマン,10732,27,false
amber,amber,アンバー,balsamic,バルサミック,10418,13,false
patchouli,patchouli,パチュリ,woody,ウッディ,9810,9,false
cedarwood,cedarwood,シダーウッド,woody,ウッディ,9456,15,false
mandarin-orange,mandarin orange,マンダリンオレンジ,citrus,シトラス,6580,33,false
vetiver,vetiver,ベチバー,woody,ウッディ,5961,17,false
lemon,lemon,レモン,citrus,シトラス,5429,16,false
iris,iris,イリス,floral,フローラル,4742,31,false
tonka-bean,tonka bean,トンカビーン,gourmand,グルマン,4414,10,false
oakmoss,oakmoss,オークモス,earthy,アーシー,4319,10,false
lavender,lavender,ラベンダー,floral,フローラル,4029,12,false
orange-blossom,orange blossom,オレンジブロッサム,white_floral,ホワイトフローラル,3905,18,false
lily-of-the-valley,lily of the valley,スズラン,white_floral,ホワイトフローラル,3657,5,false
grapefruit,grapefruit,グレープフルーツ,citrus,シトラス,3217,10,false
ylang-ylang,ylang-ylang,イランイラン,white_floral,ホワイトフローラル,3151,8,false
cardamom,cardamom,カルダモン,spicy,スパイシー,3105,8,false
geranium,geranium,ゼラニウム,floral,フローラル,2983,10,false
oud,oud,ウード,woody,ウッディ,2953,16,false
violet,violet,バイオレット,floral,フローラル,2948,6,false
pink-pepper,pink pepper,ピンクペッパー,spicy,スパイシー,2886,8,false
frankincense,frankincense,フランキンセンス,balsamic,バルサミック,2756,16,false
benzoin,benzoin,ベンゾイン,balsamic,バルサミック,2695,9,false
leather,leather,レザー,leather,レザー,2688,8,false
white-musk,white musk,ホワイトムスク,musk,ムスク,2656,0,false
orange,orange,オレンジ,citrus,シトラス,2652,16,false
peach,peach,桃,fruity,フルーティ,2466,5,false
blackcurrant,blackcurrant,カシス,fruity,フルーティ,2331,8,false
cinnamon,cinnamon,シナモン,spicy,スパイシー,2247,7,false
neroli,neroli,ネロリ,citrus,シトラス,2127,11,false
ambergris,ambergris,アンバーグリス,animalic,アニマリック,2098,4,false
freesia,freesia,フリージア,white_floral,ホワイトフローラル,2011,3,false
nutmeg,nutmeg,ナツメグ,spicy,スパイシー,1942,9,false
saffron,saffron,サフラン,spicy,スパイシー,1940,11,false
tuberose,tuberose,チュベローズ,white_floral,ホワイトフローラル,1793,9,false
ginger,ginger,ジンジャー,spicy,スパイシー,1760,8,false
labdanum,labdanum,ラブダナム,balsamic,バルサミック,1747,5,false
apple,apple,林檎,fruity,フルーティ,1564,3,false
raspberry,raspberry,ラズベリー,fruity,フルーティ,1551,3,false
