name_en,frequency,suggested_family
bourbon whiskey,19,other
blue cypress,19,woody
plant juice,19,other
animalic musk,19,musk
karo karounde,19,other
rose oxide,19,floral
citrus zest,19,citrus
corn mint,19,herbal
banana leaf,19,fruity
persimmon,19,other
daisy,19,other
celery seed,19,other
crème brûlée,19,other
cappucino,19,other
fig tree,19,fruity
anjou pear,19,fruity
linen,18,other
calamondin,18,other
silver fir,18,other
kingwood,18,woody
east indian patchouli,18,woody
hydrangea,18,other
coconut cream,18,fruity
monoï,18,other
dahlia,18,other
palm leaf,18,green
henna,18,other
cypress wood,18,woody
musk rose,18,musk
fujian cypress,18,woody
white gardenia,18,white_floral
cactus,17,other
gingerbread,17,boozy
pomarose,17,floral
lime blossom,17,white_floral
gentian,17,other
black plum,17,fruity
olive tree,17,other
arborvitae,17,other
lankan oud,17,woody
white violet,17,floral
elderflower,17,floral
cetalox,17,other
black truffle,17,earthy
sweetgrass,17,green
mahonial,17,other
popcorn,16,gourmand
grain,16,aquatic
fossilised amber,16,balsamic
false sandalwood,16,woody
evernyl,16,other
rosa alba,16,other
red cedar,16,woody
pepperwood,16,woody
lemon tree,16,citrus
arabica coffee,16,gourmand
maltol,16,other
heather,16,other
tiger orchid,16,white_floral
clove leaf,16,spicy
bluebell,16,other
raspberry blossom,16,white_floral
white narcissus,16,floral
cedar needle,16,woody
strawberry leaf,16,fruity
bellflower,15,floral
wine,15,boozy
coffee blossom,15,white_floral
rhododendron,15,other
marzipan,15,other
rock sugar,15,gourmand
prickly pear,15,fruity
pink champagne,15,boozy
liquidambar,15,other
blue rose,15,floral
candied orange,15,citrus
vanilla sugar,15,gourmand
heliotropin,15,other
oolong tea,15,tea
goji berry,15,fruity
aloe vera,15,other
helvetolide,15,synthetic
dog rose,15,floral
black ambergris,15,balsamic
mojito,15,other
jacaranda wood,15,woody
white lilac,15,other
currant bud,15,fruity
pink guava,15,fruity
oxygen,15,other
soft woods,15,woody
cubeb,14,other
wheat,14,other
forest fruits,14,fruity
gin tonic,14,boozy
caviar,14,other
almond wood,14,woody
calla,14,other
nana mint,14,herbal
aegean wallflower,14,floral
belle de nuit flower,14,floral
pastry,14,other
spike lavender,14,floral
coconut blossom,14,white_floral
muscone,14,other
lokum,14,other
raspberry sorbet,14,fruity
ink,14,other
citrus blossom,14,white_floral
smoked tea,14,tea
somalian myrrh,14,balsamic
papaya blossom,14,white_floral
eglantine rose,14,floral
american cedar,14,woody
blue hyacinth,14,floral
mocha,14,other
asafoetida,14,other
rose essential,14,floral
lime zest,13,citrus
vanillin,13,other
green fig,13,fruity
green frankincense,13,balsamic
tonic water,13,aquatic
stone pine needle,13,woody
petrichor,13,earthy
metal,13,mineral
fuji apple,13,fruity
pheromones,13,other
ambrocenide,13,other
sagebrush,13,herbal
ambrarome,13,other
acacia honey,13,gourmand
blackcurrant blossom,13,white_floral
piña colada,13,other
green mango,13,fruity
nougat,13,gourmand
pear leaf,13,fruity
meringue,12,gourmand
cascarilla,12,other
charred wood,12,woody
fleur de sel,12,other
nigerian ginger,12,boozy
olive,12,other
callitris columellaris,12,other
sylkolide,12,other
espresso,12,other
virginia tobacco,12,tobacco
white currant,12,fruity
lingonberry,12,fruity
mushrooms,12,earthy
chrysanthemum,12,other
white lavender,12,floral
hibiscus seed,12,other
patchouli orpur,12,woody
velvet,12,other
ugandan vanilla,12,gourmand
bran,12,other
bergamot leaf,12,citrus
cade juniper wood,12,woody
walnut,12,gourmand
maninka fruit,12,fruity
bellini,12,other
maple syrup,12,other
bourbon rose,12,floral
red frangipani,12,other
red plum,12,fruity
timor sandalwood,12,woody
parsley,11,other
grey musk,11,musk
purple orchid,11,white_floral
liqueur,11,boozy
sea lily,11,white_floral
vegetal amber,11,balsamic
bakhoor,11,other
red wine,11,boozy
menthol,11,other
philippine elemi,11,woody
pimento leaf,11,green
apple skin,11,fruity
lactone,11,other
bourbon pepper,11,spicy
white tobacco,11,tobacco
tiger lily,11,white_floral
black caraway,11,other
holy basil,11,herbal
gun powder,11,powdery
maple,11,gourmand
dreamwood,11,woody
violet wood,11,woody
mulberry,11,fruity
pear juice,11,fruity
bushman's candle,11,other
oleander,11,other
orange tree,11,citrus
stone,11,mineral
mongolian musk,11,musk
grenadine,11,other
currant blossom,11,white_floral
javanol,11,synthetic
timbersilk,11,other
lotus wood,11,woody
green rose,11,floral
ambrostar,11,tobacco
white nectarine,11,tobacco
boxwood,10,woody
grapefruit leaf,10,citrus
red tea,10,tea
java patchouli,10,woody
cape gooseberry,10,fruity
cola,10,other
blackcurrant sorbet,10,fruity
sea mist,10,aquatic
prosecco,10,floral
calypsone,10,other
sweet vernal grass,10,green
green lilac,10,green
caipirinha,10,other
iodine,10,other
meyer lemon,10,citrus
pineappleweed,10,woody
watercress,10,aquatic
bergamot blossom,10,white_floral
hemlock,10,other
palm tree,10,other
copal resin,10,balsamic
muscat grape,10,fruity
guarana,10,other
white champaca,10,other
salted vanilla,10,gourmand
sharry baby orchid,10,white_floral
iris tingitana,10,floral
white suede,10,leather
forget-me-not,10,other
cripps pink apple,10,fruity
curly mint,10,herbal
grape leaf,10,fruity
maritime pine,10,woody
lipstick,10,other
serenolide,10,other
blue freesia,10,white_floral
indole,10,animalic
lime leaf,10,citrus
blond leather,10,leather
valencia orange,10,citrus
yellow rose,10,floral
guava blossom,10,white_floral
mango blossom,10,white_floral
nectarine blossom,10,white_floral
white water lily,10,white_floral
gooseberry,10,fruity
abelmoschus,10,other
galangal,10,other
pink pomelo,10,other
pepper tree,10,spicy
cake,10,gourmand
ecuadorian ambrette seed,10,other
black cedar,10,woody
top,10,other
middle,10,other
base,10,other
paul smith rose,10,floral
green vanilla,9,gourmand
jasmine leaf,9,white_floral
pepper leaf,9,spicy
sake,9,other
raisin,9,other
citrus leaf,9,citrus
curcuma leaf,9,green
woodleather,9,woody
rose lokum,9,floral
darjeeling tea,9,tea
la réunion vanilla,9,gourmand
smoked wood,9,woody
cosmone,9,other
tropical woods,9,woody
wood smoke,9,woody
opium,9,other
choya ral,9,other
pear nectar,9,fruity
vinyl,9,other
agave,9,other
mongolian deer musk,9,musk
malt,9,other
dihydromyrcenol,9,other
peach juice,9,fruity
edelweiss,9,other
green stems,9,green
raspberry nectar,9,fruity
sweets,9,other
pine wood,9,woody
flax blossom,9,white_floral
wine grape,9,boozy
vanilla ice cream,9,gourmand
macaron,9,other
red chili,9,other
bitter orange zest,9,citrus
neptune grass,9,green
juniper wood,9,woody
minerals,9,mineral
crocus,9,other
soap,9,other
pink magnolia,9,white_floral
pipe tobacco,9,tobacco
snowdrop,9,other
lemon sorbet,9,citrus
jasmine water,9,white_floral
coconut palmwood,9,woody
cottonwood,9,woody
red algae,9,aquatic
cattleya orchid,9,white_floral
gillyflower,9,floral
vetiver orpur,9,woody
candied ginger,9,boozy
nasturtium,9,other
peppery,9,spicy
lapsang souchong tea,9,tea
west indian lantana,9,other
white rum,9,boozy
purple freesia,9,white_floral
golden delicious apple,9,fruity
la réunion pink pepper,9,spicy
limoncello,8,other
roasted hazelnut,8,gourmand
mandarine orpur,8,citrus
masala chai,8,other
olive leaf,8,green
yuzu zest,8,citrus
tiramisu,8,other
common elder,8,other
black basil,8,herbal
custard,8,tobacco
ambertonic,8,balsamic
muskrat,8,musk
oak moss,8,earthy
white carnation,8,floral
limbanol,8,other
paper,8,other
guatemala patchouly,8,other
brown oakmoss,8,earthy
mitti,8,other
oud assafi,8,woody
bunch-flowered narcissus,8,floral
green melon,8,fruity
palestinian sweet lime,8,citrus
mugane,8,other
aqual,8,other
bougainvillea,8,other
blond suede,8,leather
larch,8,other
white pear,8,fruity
pink musk,8,musk
magnolia leaf,8,white_floral
stargazer lily,8,white_floral
sycamore,8,other
blackberry leaf,8,fruity
norlimbanol,8,synthetic
jackfruit,8,fruity
gin fizz,8,boozy
damascus plum,8,fruity
black fig,8,fruity
safraleine,8,other
florida orange,8,citrus
cantaloupe,8,other
toon,8,other
dill,8,other
brandy,8,boozy
jabuticaba,8,other
dirt,8,other
sinfonide,8,other
massoia wood,8,woody
cocoa blossom,8,white_floral
honduras styrax,8,other
sorbettolide,8,other
white hyacinth,8,floral
chewing gum,8,other
provençal honey,8,gourmand
namibian myrrh,8,balsamic
rosyfolia,8,other
sweet lime,8,citrus
lemon orpur,8,citrus
yellow narcissus,8,floral
lychee blossom,8,white_floral
orange tree wood,8,woody
blackcurrant nectar,8,fruity
madonna lily,8,white_floral
malabar pepper,7,spicy
exotic spices,7,spicy
californian lemon,7,citrus
exotic,7,other
cherry liqueur,7,boozy
raspberry liqueur,7,boozy
mallow,7,other
pandanus,7,other
green geranium,7,floral
geosmin,7,other
californian orange,7,citrus
valerian,7,other
pine resin,7,woody
camphor tree,7,herbal
black liquorice,7,gourmand
cistus leaf,7,green
martini,7,other
aquozone,7,aquatic
hazelnut leaf,7,gourmand
cocoa butter,7,gourmand
white strawberry,7,fruity
melissa,7,other
pamplewood,7,woody
rice steam,7,tea
ravansara,7,other
candied rose,7,floral
amazon lily,7,white_floral
cachalox,7,other
southern magnolia,7,white_floral
honeycomb,7,gourmand
white heliotrope,7,other
black suede,7,leather
fucus,7,other
senecio,7,other
kephalis,7,other
rose orpur,7,floral
yemenite frankincense,7,balsamic
carob tree,7,other
quince flower,7,floral
firewood,7,woody
dry,7,other
ambermax,7,balsamic
coconut orchid,7,white_floral
strawberry blossom,7,white_floral
coral,7,other
laundry,7,other
vetiveryl acetate,7,woody
operanide,7,other
olibanum wood,7,woody
boysenberry,7,fruity
mangosteen,7,fruity
amaranth wood,7,woody
apricot skin,7,fruity
acacia wood,7,woody
patchouli blossom,7,woody
marron glacé,7,other
tea blossom,7,tea
juniper leaf,7,green
silk,7,other
templin,7,other
nirvanolide,7,other
cloudberry,7,woody
okoumé,7,other
plum nectar,7,fruity
moxalone,7,other
pink apple,7,fruity
pumpkin,7,other
oaken barrel,7,other
satsuma,7,other
plum wood,7,woody
sapote,7,green
tomato,6,other
lilybelle,6,white_floral
massoia,6,other
flintstone,6,mineral
red amber,6,balsamic
mediterranean cypress,6,woody
pomegranate blossom,6,white_floral
scots pine,6,woody
cocoa leaf,6,gourmand
basil blossom,6,white_floral
civettone,6,animalic
mandora,6,other
peat,6,other
peach leaf,6,fruity
baccara rose,6,floral
wasabi,6,other
bengali oud,6,woody
periwinkle,6,other
candy,6,gourmand
cherry wood,6,woody
common marshmallow,6,other
sea shell,6,aquatic
ambramone,6,other
ambrox super,6,other
white mimosa,6,floral
mandarin orange nectar,6,citrus
red grape,6,fruity
black tobacco,6,tobacco
provençal mimosa,6,floral
ironwood,6,woody
night-blooming cereus,6,other
tea tree,6,tea
sudachi,6,other
ginger lily,6,boozy
oak leaf,6,green
cherry leaf,6,fruity
royal lily,6,white_floral
blue tea,6,tea
roasted sesame,6,other
sweet clover,6,spicy
apple tree,6,fruity
pink hibiscus,6,other
white copal resin,6,balsamic
candied violet,6,floral
broad-leaved paperbark,6,other
mist,6,aquatic
morocco leather,6,leather
white sage,6,herbal
hemp flower,6,floral
macadamia,6,other
christmas rose,6,floral
douglas fir,6,other
pink currant,6,fruity
resinous,6,balsamic
yellow iris,6,floral
bark,6,woody
balsa wood,6,woody
vanilla cake,6,gourmand
rock samphire,6,other
vanilla milk,6,gourmand
damson plum,6,fruity
buttercream,6,gourmand
chinotto,6,other
dune grass,6,green
iced tea,6,tea
cypress leaf,6,woody
yellow peach,6,fruity
nag champa,6,other
damascone,6,other
yellow plum,6,fruity
nettle,6,other
redwood,6,woody
pineapple blossom,6,woody
coco de mer,6,other
green orange,6,citrus
baltic ambergris,6,balsamic
pea,6,other
tree bark,6,other
cupcake,6,other
kiwano,6,other
fig blossom,6,white_floral
black raspberry,6,fruity
green tangerine,6,green
mara des bois strawberry,6,fruity
rose honey,6,floral
orange honey,6,citrus
yellow apple,5,fruity
black iris,5,floral
white cyclamen,5,other
cardamom orpur,5,spicy
blue sage,5,herbal
pine tree cone,5,woody
fur,5,other
cigar,5,other
american plum,5,fruity
choya nakh,5,other
thanaka wood,5,woody
somalian frankincense orpur,5,balsamic
white driftwood,5,woody
tree resin,5,balsamic
vegetal,5,other
guinea pepper,5,spicy
rice flour,5,gourmand
blue tansy,5,other
winter green,5,green
sweet gale,5,other
prunella,5,other
katsura wood,5,woody
provençal clary sage,5,herbal
green fruits,5,fruity
latex,5,other
cashew nut,5,gourmand
easter lily,5,white_floral
flax,5,other
arnica,5,other
black frankincense,5,balsamic
aloe,5,other
sequoia wood,5,woody
bangladeshian oud,5,woody
lovage,5,herbal
balsam fir resin,5,balsamic
jojoba,5,other
amarena cherry,5,fruity
cryptomeria,5,other
corn rose,5,floral
white frankincense,5,balsamic
oat,5,other
cocoa powder,5,gourmand
apple sorbet,5,fruity
hazelnut cream,5,gourmand
blue ginger,5,boozy
cumaru,5,other
cayenne pepper,5,spicy
dominican amyris,5,other
cep,5,other
rosemary blossom,5,white_floral
green bitter orange,5,citrus
tropical,5,other
arbutus,5,other
red sandalwood,5,woody
purple basil,5,herbal
roasted pistachio,5,other
ume,5,other
orange jessamine,5,citrus
phytolacca dioica,5,other
suederal,5,leather
eau de cologne mint,5,herbal
murcott tangerine,5,other
florida grapefruit,5,citrus
dyer's-broom,5,other
fuchsia,5,other
curry,5,other
pear tree wood,5,woody
grapevine,5,fruity
rooibos tea,5,tea
pink pineapple,5,woody
balkans tobacco,5,tobacco
roasted cocoa,5,gourmand
rangoon creeper,5,other
daphne,5,other
aromatic woods,5,woody
mediterranean fig,5,fruity
smoked leather,5,leather
bourbon vanilla orpur,5,gourmand
nyctanthes arbor-tristis,5,other
maple wood,5,woody
lily-of-the-valley leaf,5,white_floral
curaçao,5,other
fig nectar,5,fruity
maple leaf,5,green
bread,5,gourmand
lemonade,5,citrus
swedish castoreum,5,animalic
privet,5,other
red orchid,5,white_floral
lemon water,5,citrus
yellow fruits,5,fruity
tequila,5,other
pineapple sorbet,5,woody
spruce resin,5,balsamic
pink lily-of-the-valley,5,white_floral
carnation leaf,5,floral
new guinean oud,5,woody
primrose,5,floral
daisy tree,5,other
barley,5,other
adoxal,5,other
maraschino cherry,5,fruity
leatherwood,5,woody
linden tree leaf,5,green
mango leaf,5,fruity
floralozone,5,floral
maritima,5,other
white grape,5,fruity
snow,5,other
pansy,5,other
exaltone,5,other
mediterranean herbs,5,herbal
black sesame,5,other
chestnut cream,5,gourmand
green anise,5,spicy
gianduja cream,5,gourmand
forest raspberry,5,fruity
angel's trumpet,5,boozy
magnolan,4,other
loganberry,4,fruity
vanilla praliné,4,gourmand
tansy,4,other
black baccara rose,4,floral
purple iris,4,floral
greengage plum,4,fruity
bergamot orpur,4,citrus
south african freesia,4,white_floral
pink honeysuckle,4,gourmand
grape blossom,4,white_floral
pink orchid,4,white_floral
spring flowers,4,floral
sandalore,4,woody
iralia,4,other
propolis,4,other
forest,4,other
vulcanolide,4,other
suntan lotion,4,other
lollipop,4,other
lankan cardamom,4,spicy
roasted barley,4,other
lemon tree bark,4,citrus
fir tree wood,4,woody
chocolate flower,4,floral
dragon's blood,4,other
costus root,4,other
rose macaron,4,floral
roots,4,other
white alba truffle,4,earthy
lankan nutmeg,4,spicy
bay laurel,4,herbal
kaffir lime leaf,4,citrus
jacaranda,4,other
wine lees,4,boozy
marijuana,4,other
lemon juice,4,citrus
white cypress,4,woody
white cognac,4,boozy
lankan sandalwood,4,woody
blackcurrant syrup,4,fruity
white truffle,4,earthy
acajou wood,4,woody
plants,4,other
nappa leather,4,leather
bergamot petitgrain,4,citrus
nutty,4,gourmand
evaporated milk,4,gourmand
royal poinciana,4,other
geranium orpur,4,floral
sulawesi patchouli,4,woody
campari,4,other
tropical blossoms,4,white_floral
caramel syrup,4,gourmand
rose thorn,4,floral
